ribosome_profiling_counts,ribosome_profiling_rpk,RNA-seq_counts,RNA-seq_rpk,transcript_ID,ribosome_profiling_tpm,RNA-seq_tpm,translation_efficiency
89,42.48210024,42.0742977,20.08319699,FBtr0330649,10.83160234,54.97585219,0.197024728
89,42.30038023,42.2342977,20.07333541,FBtr0330648,10.78526944,54.94885703,0.196278322
89,42.18009479,42.4742977,20.12999891,FBtr0300804,10.75460043,55.10396801,0.195169256
90,28.73563218,442.2806978,141.213505,FBtr0330650,7.326684395,386.5586133,0.018953618
50,12.4750499,205.4327286,51.25567081,FBtr0078129,3.180746219,140.3075508,0.022669815
13,9.433962264,435.52,316.0522496,FBtr0343780,2.405364311,865.1631394,0.002780244
13,12.07056639,96.69333333,89.78025379,FBtr0343779,3.077615618,245.7649528,0.012522598
13,11.2945265,96.69333333,84.00810889,FBtr0078137,2.8797498,229.9642521,0.012522598
15,11.18568233,0.28,0.208799403,FBtr0078136,2.851997952,0.571568617,4.98977352
12,8.565310493,0.28,0.199857245,FBtr0343778,2.18388537,0.547090304,3.991818816
12,8.24742268,0.28,0.192439863,FBtr0113009,2.102833954,0.526785922,3.991818816
12,12.06030151,0,0,FBtr0078135,3.074998395,0,inf
0,0,0.226666667,0.134840373,FBtr0078134,0,0.369112767,0
0,0,0.226666667,0.119739391,FBtr0330647,0,0.327775257,0
11,14.70588235,1,1.336898396,FBtr0078130,3.749538484,3.659632907,1.024566829
230,138.9728097,530.4544729,320.5162978,FBtr0333408,35.43370507,877.383049,0.040385673
230,182.3949247,8.88,7.042030135,FBtr0078133,46.50498168,19.27689142,2.412473083
1219,602.5704399,28.04,13.86060306,FBtr0078131,153.6365517,37.94208988,4.049237988
134,40.37360651,7,2.109068997,FBtr0331205,10.29400261,5.773376891,1.783012405
141,30.53269814,8,1.732351667,FBtr0331208,7.784879815,4.742148834,1.641635488
75,21.75805048,4,1.160429359,FBtr0331207,5.547620038,3.17656561,1.746420732
76,21.54195011,4,1.133786848,FBtr0331206,5.492521226,3.103634257,1.769706342
51,9.622641509,2,0.377358491,FBtr0330673,2.453471597,1.032983175,2.375132196
53,9.660955159,2,0.364564346,FBtr0078047,2.463240375,0.997960414,2.468274635
52,7.077718797,3.347390649,0.455613264,FBtr0078049,1.804596173,1.247198215,1.446920105
48,8.857722827,2,0.369071784,FBtr0330674,2.258441338,1.010299101,2.235418537
49,8.561943037,2,0.349467063,FBtr0078048,2.183026774,0.95663303,2.281989757
